metric,gene,label,label_frequency,neg_log10_freq,metric_value,metric_quantile
palma_final,C1ORF54,DC1,0.1456140350877193,0.8367967632964175,0.9716681776971896,0.9716933615392365
palma_final,CLEC9A,DC1,0.1456140350877193,0.8367967632964175,0.9502619119572882,0.9502870957993351
palma_final,HLA-DPA1,DC1,0.1456140350877193,0.8367967632964175,0.2532738994661025,0.2532990833081495
palma_final,CADM1,DC1,0.1456140350877193,0.8367967632964175,0.8696232497229778,0.8696484335650246
palma_final,HLA-DPB2,DC1,0.1456140350877193,0.8367967632964175,0.1511786038077969,0.15120378764984385
palma_final,WDFY4,DC1,0.1456140350877193,0.8367967632964175,0.1169789463080487,0.1170041301500957
palma_final,TYROBP,DC1,0.1456140350877193,0.8367967632964175,0.1414072730935831,0.1414324569356301
palma_final,CPVL,DC1,0.1456140350877193,0.8367967632964175,0.3823662737987307,0.3823914576407777
palma_final,CD74,DC1,0.1456140350877193,0.8367967632964175,0.1540999294852422,0.1541251133272892
palma_final,HLA-DPB1,DC1,0.1456140350877193,0.8367967632964175,0.1071068802256472,0.10713206406769417
palma_final,CD1C,DC2,0.0921052631578947,1.0357155522665347,0.9879369396595143,0.9879621235015614
palma_final,FCER1A,DC2,0.0921052631578947,1.0357155522665347,0.9998237131056714,0.9998488969477184
palma_final,CLEC10A,DC2,0.0921052631578947,1.0357155522665347,0.984159363352473,0.98418454719452
palma_final,HLA-DQA1,DC2,0.0921052631578947,1.0357155522665347,0.326458144454518,0.3264833282965649
palma_final,HLA-DQA2,DC2,0.0921052631578947,1.0357155522665347,0.0947667976226453,0.09479198146469225
palma_final,HLA-DRA,DC2,0.0921052631578947,1.0357155522665347,0.155056915483026,0.15508209932507303
palma_final,HLA-DQB,DC2,0.0921052631578947,1.0357155522665347,0.4637604512944495,0.4637856351364964
palma_final,HLA-DRB4,DC2,0.0921052631578947,1.0357155522665347,0.8096857056512542,0.8097108894933011
palma_final,HLA-DRB1,DC2,0.0921052631578947,1.0357155522665347,0.3460008058829455,0.34602598972499243
palma_final,DQ-A1,DC2,0.0921052631578947,1.0357155522665347,0.3645361136294953,0.36456129747154226
palma_final,FCER1A,DC3,0.0833333333333333,1.0791812460476249,0.9998237131056714,0.9998488969477184
palma_final,ANXA2,DC3,0.0833333333333333,1.0791812460476249,0.1419613176186158,0.14198650146066283
palma_final,RNASE2,DC3,0.0833333333333333,1.0791812460476249,0.9876347335549512,0.9876599173969981
palma_final,ANXA1,DC3,0.0833333333333333,1.0791812460476249,0.8289261609751184,0.8289513448171653
palma_final,GAPDH,DC3,0.0833333333333333,1.0791812460476249,0.1316863100634633,0.13171149390551024
palma_final,CD1C,DC3,0.0833333333333333,1.0791812460476249,0.9879369396595143,0.9879621235015614
palma_final,CLEC10A,DC3,0.0833333333333333,1.0791812460476249,0.984159363352473,0.98418454719452
palma_final,SH3BGRL3,DC3,0.0833333333333333,1.0791812460476249,0.1207061549309962,0.12073133877304322
palma_final,S100A9,DC3,0.0833333333333333,1.0791812460476249,0.9698045733857156,0.9698297572277627
palma_final,CAPG,DC3,0.0833333333333333,1.0791812460476249,0.126498438601793,0.12652362244384002
palma_final,FCGR3A,DC4,0.1596491228070175,0.7968334633513979,0.9932255464893724,0.9932507303314193
palma_final,LST1,DC4,0.1596491228070175,0.7968334633513979,0.4476427923844062,0.4476679762264531
palma_final,AIF1,DC4,0.1596491228070175,0.7968334633513979,0.2597209630301199,0.2597461468721668
palma_final,IFITM3,DC4,0.1596491228070175,0.7968334633513979,0.8450941875692556,0.8451193714113026
palma_final,AK307192,DC4,0.1596491228070175,0.7968334633513979,0.9924196635438702,0.9924448473859172
palma_final,MTSS1,DC4,0.1596491228070175,0.7968334633513979,0.8285735871864611,0.8285987710285081
palma_final,TCF7L2,DC4,0.1596491228070175,0.7968334633513979,0.8908280447265035,0.8908532285685504
palma_final,MS4A7,DC4,0.1596491228070175,0.7968334633513979,0.9564067694167422,0.9564319532587892
palma_final,SERPINA1,DC4,0.1596491228070175,0.7968334633513979,0.8956129747154226,0.8956381585574695
palma_final,FCER1G,DC4,0.1596491228070175,0.7968334633513979,0.1443789664551223,0.14440415029716933
palma_final,AXL,DC5,0.0263157894736842,1.5797835966168103,0.0787498740807897,0.0787750579228367
palma_final,PPP1R14A,DC5,0.0263157894736842,1.5797835966168103,0.791301500956986,0.7913266847990329
palma_final,SIGLEC6,DC5,0.0263157894736842,1.5797835966168103,0.9203435076055204,0.9203686914475673
palma_final,CD22,DC5,0.0263157894736842,1.5797835966168103,0.6441774957187468,0.6442026795607938
palma_final,DAB2,DC5,0.0263157894736842,1.5797835966168103,0.8626725093180215,0.8626976931600685
palma_final,S100A10,DC5,0.0263157894736842,1.5797835966168103,0.1199002719854941,0.11992545582754105
palma_final,FAM105A,DC5,0.0263157894736842,1.5797835966168103,0.348418454719452,0.34844363856149896
palma_final,LGMN,DC5,0.0263157894736842,1.5797835966168103,0.977611564420268,0.977636748262315
palma_final,ACTG1,DC5,0.0263157894736842,1.5797835966168103,0.1426160975118364,0.14264128135388335
palma_final,PLAC8,DC5,0.0263157894736842,1.5797835966168103,0.771507001108089,0.771532184950136
palma_final,SERPINF1,DC6,0.1517543859649122,0.8188587482076775,0.991664148282462,0.9916893321245089
palma_final,IGJ,DC6,0.1517543859649122,0.8188587482076775,0.9984134179510428,0.9984386017930895
palma_final,GZMB,DC6,0.1517543859649122,0.8188587482076775,0.9992696685806388,0.9992948524226856
palma_final,AK128525,DC6,0.1517543859649122,0.8188587482076775,0.9927722373325274,0.9927974211745744
